workload,experiment,param,n,k,headroom,method,survival_rate,cv,max_over_mean,low_freq_share,time_ms
dense_uniform,k_sweep,2,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,2.197379
dense_uniform,k_sweep,2,1024,2,1.20,PhaseRouterRsAdd,0.472656,2.396082,19.000000,0.471044,7.726667
dense_uniform,k_sweep,2,1024,2,1.20,PhaseRouterRsAff,0.470703,2.348953,17.500000,0.495152,8.669029
dense_uniform,k_sweep,2,1024,2,1.20,PhaseRouterRsHyb,0.471191,2.419303,16.000000,0.491630,7.575472
dense_uniform,k_sweep,4,1024,4,1.20,hash,0.752197,0.489265,2.750000,0.112944,0.142009
dense_uniform,k_sweep,4,1024,4,1.20,PhaseRouter,0.923096,1.032788,6.000000,0.131071,4.065420
dense_uniform,k_sweep,4,1024,4,1.20,PhaseRouterRsAdd,0.427490,2.316271,15.750000,0.524617,9.760792
dense_uniform,k_sweep,4,1024,4,1.20,PhaseRouterRsAff,0.427002,2.250678,14.750000,0.542391,11.155752
dense_uniform,k_sweep,4,1024,4,1.20,PhaseRouterRsHyb,0.427246,2.319168,15.750000,0.528253,10.029691
dense_uniform,k_sweep,8,1024,8,1.20,hash,0.782227,0.351562,2.250000,0.120507,0.241154
dense_uniform,k_sweep,8,1024,8,1.20,PhaseRouter,0.953247,0.970968,5.375000,0.136289,2.025512
dense_uniform,k_sweep,8,1024,8,1.20,PhaseRouterRsAdd,0.415894,2.290262,14.250000,0.534133,7.823499
dense_uniform,k_sweep,8,1024,8,1.20,PhaseRouterRsAff,0.415894,2.265679,13.875000,0.539246,11.002329
dense_uniform,k_sweep,8,1024,8,1.20,PhaseRouterRsHyb,0.415894,2.299531,16.125000,0.534192,10.039562
dense_uniform,k_sweep,16,1024,16,1.20,hash,0.768494,0.242707,2.000000,0.109500,0.428358
dense_uniform,k_sweep,16,1024,16,1.20,PhaseRouter,0.966614,0.961410,4.812500,0.132537,1.901907
dense_uniform,k_sweep,16,1024,16,1.20,PhaseRouterRsAdd,0.397156,2.286843,14.000000,0.529790,7.794608
dense_uniform,k_sweep,16,1024,16,1.20,PhaseRouterRsAff,0.397156,2.267823,12.937500,0.534030,11.145669
dense_uniform,k_sweep,16,1024,16,1.20,PhaseRouterRsHyb,0.397156,2.258358,12.687500,0.538605,10.010751
dense_uniform,scale,256,256,2,1.20,hash,0.777344,0.773082,4.000000,0.095349,0.016688
dense_uniform,scale,256,256,2,1.20,PhaseRouter,0.923828,1.202212,8.500000,0.101974,0.154274
dense_uniform,scale,256,256,2,1.20,PhaseRouterRsAdd,0.445312,2.179898,14.500000,0.527495,0.673231
dense_uniform,scale,256,256,2,1.20,PhaseRouterRsAff,0.441406,2.326394,14.500000,0.484881,0.740806
dense_uniform,scale,256,256,2,1.20,PhaseRouterRsHyb,0.451172,2.269877,15.000000,0.500226,0.524933
dense_uniform,scale,512,512,2,1.20,hash,0.780273,0.732211,4.000000,0.118438,0.029977
dense_uniform,scale,512,512,2,1.20,PhaseRouter,0.907227,1.134939,7.000000,0.099189,1.389379
dense_uniform,scale,512,512,2,1.20,PhaseRouterRsAdd,0.441406,2.359944,16.000000,0.503120,1.982502
dense_uniform,scale,512,512,2,1.20,PhaseRouterRsAff,0.439453,2.384643,19.000000,0.459731,3.099708
dense_uniform,scale,512,512,2,1.20,PhaseRouterRsHyb,0.434570,2.458046,16.500000,0.434671,1.819797
dense_uniform,scale,1024,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.072391
dense_uniform,scale,1024,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,2.194236
dense_uniform,scale,1024,1024,2,1.20,PhaseRouterRsAdd,0.472656,2.396082,19.000000,0.471044,10.418251
dense_uniform,scale,1024,1024,2,1.20,PhaseRouterRsAff,0.470703,2.348953,17.500000,0.495152,8.991919
dense_uniform,scale,1024,1024,2,1.20,PhaseRouterRsHyb,0.471191,2.419303,16.000000,0.491630,12.003793
dense_uniform,scale,2048,2048,2,1.20,hash,0.798828,0.687500,4.000000,0.107126,0.143097
dense_uniform,scale,2048,2048,2,1.20,PhaseRouter,0.909180,1.180282,8.500000,0.139947,7.339444
dense_uniform,scale,2048,2048,2,1.20,PhaseRouterRsAdd,0.447754,2.399290,18.000000,0.488165,37.762518
dense_uniform,scale,2048,2048,2,1.20,PhaseRouterRsAff,0.453125,2.426608,21.500000,0.488063,72.575622
dense_uniform,scale,2048,2048,2,1.20,PhaseRouterRsHyb,0.450684,2.429172,21.500000,0.486852,52.220482
dense_uniform,scale,4096,4096,2,1.20,hash,0.788086,0.705811,4.000000,0.110925,0.340504
dense_uniform,scale,4096,4096,2,1.20,PhaseRouter,0.910034,1.167440,8.500000,0.114178,69.165231
dense_uniform,scale,4096,4096,2,1.20,PhaseRouterRsAdd,0.460327,2.435797,20.500000,0.482177,362.472107
dense_uniform,scale,4096,4096,2,1.20,PhaseRouterRsAff,0.463867,2.412988,19.500000,0.474027,324.032217
dense_uniform,scale,4096,4096,2,1.20,PhaseRouterRsHyb,0.465210,2.382748,17.500000,0.496134,254.157011
dense_diverse,headroom,1.00,1024,2,1.00,hash,0.786133,0.705378,4.000000,0.118575,0.065933
dense_diverse,headroom,1.00,1024,2,1.00,PhaseRouter,0.896484,1.095980,7.000000,0.126861,5.759186
dense_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsAdd,0.888184,1.121087,7.000000,0.111867,14.063905
dense_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsAff,0.903320,1.129116,7.000000,0.145647,11.907077
dense_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsHyb,0.891602,1.154982,9.500000,0.126076,10.617274
dense_diverse,headroom,1.05,1024,2,1.05,hash,0.786133,0.705378,4.000000,0.118575,0.068303
dense_diverse,headroom,1.05,1024,2,1.05,PhaseRouter,0.896484,1.095980,7.000000,0.126861,1.849029
dense_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsAdd,0.888184,1.121087,7.000000,0.111867,8.437530
dense_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsAff,0.903320,1.129116,7.000000,0.145647,12.982706
dense_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsHyb,0.891602,1.154982,9.500000,0.126076,10.578638
dense_diverse,headroom,1.10,1024,2,1.10,hash,0.786133,0.705378,4.000000,0.118575,0.067749
dense_diverse,headroom,1.10,1024,2,1.10,PhaseRouter,0.902344,1.095980,7.000000,0.126861,2.393773
dense_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsAdd,0.895996,1.121087,7.000000,0.111867,10.613135
dense_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsAff,0.913086,1.129116,7.000000,0.145647,14.607078
dense_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsHyb,0.902344,1.154982,9.500000,0.126076,8.424982
dense_diverse,headroom,1.15,1024,2,1.15,hash,0.786133,0.705378,4.000000,0.118575,0.080603
dense_diverse,headroom,1.15,1024,2,1.15,PhaseRouter,0.902344,1.095980,7.000000,0.126861,1.992964
dense_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsAdd,0.895996,1.121087,7.000000,0.111867,9.414275
dense_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsAff,0.913086,1.129116,7.000000,0.145647,11.336303
dense_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsHyb,0.902344,1.154982,9.500000,0.126076,12.043989
dense_diverse,headroom,1.20,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.091331
dense_diverse,headroom,1.20,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,1.845049
dense_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsAdd,0.901855,1.121087,7.000000,0.111867,14.195897
dense_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsAff,0.918457,1.129116,7.000000,0.145647,11.654485
dense_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsHyb,0.908691,1.154982,9.500000,0.126076,11.396250
dense_diverse,headroom,1.30,1024,2,1.30,hash,0.786133,0.705378,4.000000,0.118575,0.086403
dense_diverse,headroom,1.30,1024,2,1.30,PhaseRouter,0.905762,1.095980,7.000000,0.126861,4.889591
dense_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsAdd,0.901855,1.121087,7.000000,0.111867,10.799221
dense_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsAff,0.918457,1.129116,7.000000,0.145647,11.616541
dense_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsHyb,0.908691,1.154982,9.500000,0.126076,10.631234
dense_diverse,headroom,1.50,1024,2,1.50,hash,0.799316,0.705378,4.000000,0.118575,0.066123
dense_diverse,headroom,1.50,1024,2,1.50,PhaseRouter,0.928223,1.095980,7.000000,0.126861,2.012242
dense_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsAdd,0.928711,1.121087,7.000000,0.111867,11.332551
dense_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsAff,0.940918,1.129116,7.000000,0.145647,11.902781
dense_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsHyb,0.935547,1.154982,9.500000,0.126076,14.086053
dense_diverse,headroom,2.00,1024,2,2.00,hash,0.919922,0.705378,4.000000,0.118575,0.064527
dense_diverse,headroom,2.00,1024,2,2.00,PhaseRouter,0.977051,1.095980,7.000000,0.126861,1.901896
dense_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsAdd,0.982422,1.121087,7.000000,0.111867,11.959420
dense_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsAff,0.986328,1.129116,7.000000,0.145647,18.165994
dense_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsHyb,0.983887,1.154982,9.500000,0.126076,12.535486
dense_diverse,k_sweep,1,1024,1,1.20,hash,0.728516,1.003899,5.000000,0.120278,0.038706
dense_diverse,k_sweep,1,1024,1,1.20,PhaseRouter,0.854492,1.334635,9.000000,0.140818,2.184198
dense_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsAdd,0.859375,1.342659,10.000000,0.139835,8.464739
dense_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsAff,0.860352,1.407291,9.000000,0.135980,11.263281
dense_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsHyb,0.857422,1.376420,12.000000,0.117535,10.637132
dense_diverse,k_sweep,2,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.071391
dense_diverse,k_sweep,2,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,1.831462
dense_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsAdd,0.901855,1.121087,7.000000,0.111867,15.038477
dense_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsAff,0.918457,1.129116,7.000000,0.145647,11.316104
dense_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsHyb,0.908691,1.154982,9.500000,0.126076,10.771290
dense_diverse,k_sweep,4,1024,4,1.20,hash,0.752197,0.489265,2.750000,0.112944,0.129069
dense_diverse,k_sweep,4,1024,4,1.20,PhaseRouter,0.923096,1.032788,6.000000,0.131071,1.983315
dense_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsAdd,0.921387,1.019284,6.250000,0.118499,11.640193
dense_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsAff,0.922852,1.024838,5.500000,0.140265,13.640046
dense_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsHyb,0.924561,1.019823,5.500000,0.125875,10.697468
dense_diverse,k_sweep,8,1024,8,1.20,hash,0.782227,0.351562,2.250000,0.120507,0.222964
dense_diverse,k_sweep,8,1024,8,1.20,PhaseRouter,0.953247,0.970968,5.375000,0.136289,2.026340
dense_diverse,k_sweep,8,1024,8,1.20,PhaseRouterRsAdd,0.958374,0.987223,5.375000,0.130289,11.926008
dense_diverse,k_sweep,8,1024,8,1.20,PhaseRouterRsAff,0.953491,0.976437,5.125000,0.127707,11.674527
dense_diverse,k_sweep,8,1024,8,1.20,PhaseRouterRsHyb,0.957520,0.963966,5.250000,0.144148,10.587677
dense_diverse,k_sweep,16,1024,16,1.20,hash,0.768494,0.242707,2.000000,0.109500,0.416307
dense_diverse,k_sweep,16,1024,16,1.20,PhaseRouter,0.966614,0.961410,4.812500,0.132537,2.009757
dense_diverse,k_sweep,16,1024,16,1.20,PhaseRouterRsAdd,0.966553,0.941957,5.250000,0.138551,11.231587
dense_diverse,k_sweep,16,1024,16,1.20,PhaseRouterRsAff,0.970825,0.953701,4.812500,0.133194,11.332738
dense_diverse,k_sweep,16,1024,16,1.20,PhaseRouterRsHyb,0.970886,0.946381,4.625000,0.141664,10.694861
dense_diverse,scale,256,256,2,1.20,hash,0.777344,0.773082,4.000000,0.095349,0.015069
dense_diverse,scale,256,256,2,1.20,PhaseRouter,0.923828,1.202212,8.500000,0.101974,0.197916
dense_diverse,scale,256,256,2,1.20,PhaseRouterRsAdd,0.917969,1.141374,6.000000,0.089899,0.770073
dense_diverse,scale,256,256,2,1.20,PhaseRouterRsAff,0.916016,1.145644,6.000000,0.049562,0.632744
dense_diverse,scale,256,256,2,1.20,PhaseRouterRsHyb,0.917969,1.203835,6.000000,0.073765,0.467009
dense_diverse,scale,512,512,2,1.20,hash,0.780273,0.732211,4.000000,0.118438,0.036203
dense_diverse,scale,512,512,2,1.20,PhaseRouter,0.907227,1.134939,7.000000,0.099189,0.976714
dense_diverse,scale,512,512,2,1.20,PhaseRouterRsAdd,0.906250,1.119780,6.500000,0.080920,2.501025
dense_diverse,scale,512,512,2,1.20,PhaseRouterRsAff,0.901367,1.114973,6.500000,0.114347,2.524120
dense_diverse,scale,512,512,2,1.20,PhaseRouterRsHyb,0.889648,1.103085,6.500000,0.104423,2.357541
dense_diverse,scale,1024,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.063612
dense_diverse,scale,1024,1024,2,1.20,PhaseRouter,0.905762,1.095980,7.000000,0.126861,1.858890
dense_diverse,scale,1024,1024,2,1.20,PhaseRouterRsAdd,0.901855,1.121087,7.000000,0.111867,10.648794
dense_diverse,scale,1024,1024,2,1.20,PhaseRouterRsAff,0.918457,1.129116,7.000000,0.145647,12.493397
dense_diverse,scale,1024,1024,2,1.20,PhaseRouterRsHyb,0.908691,1.154982,9.500000,0.126076,11.516412
dense_diverse,scale,2048,2048,2,1.20,hash,0.798828,0.687500,4.000000,0.107126,0.123259
dense_diverse,scale,2048,2048,2,1.20,PhaseRouter,0.909180,1.180282,8.500000,0.139947,9.180283
dense_diverse,scale,2048,2048,2,1.20,PhaseRouterRsAdd,0.912354,1.173749,9.500000,0.132558,80.345482
dense_diverse,scale,2048,2048,2,1.20,PhaseRouterRsAff,0.909912,1.139983,8.000000,0.130544,73.519235
dense_diverse,scale,2048,2048,2,1.20,PhaseRouterRsHyb,0.912109,1.142015,6.500000,0.135175,59.987295
dense_diverse,scale,4096,4096,2,1.20,hash,0.788086,0.705811,4.000000,0.110925,0.255160
dense_diverse,scale,4096,4096,2,1.20,PhaseRouter,0.910034,1.167440,8.500000,0.114178,64.367440
dense_diverse,scale,4096,4096,2,1.20,PhaseRouterRsAdd,0.916016,1.146602,8.000000,0.120076,393.121519
dense_diverse,scale,4096,4096,2,1.20,PhaseRouterRsAff,0.908569,1.131438,8.000000,0.136470,451.462984
dense_diverse,scale,4096,4096,2,1.20,PhaseRouterRsHyb,0.912964,1.127764,8.000000,0.122184,602.827199
sparse_diverse,headroom,1.00,1024,2,1.00,hash,0.786133,0.705378,4.000000,0.118575,0.083593
sparse_diverse,headroom,1.00,1024,2,1.00,PhaseRouter,0.898438,1.088604,6.500000,0.122782,1.692612
sparse_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsAdd,0.893066,1.201805,8.000000,0.129543,14.818568
sparse_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsAff,0.909668,1.102642,6.500000,0.138670,12.044380
sparse_diverse,headroom,1.00,1024,2,1.00,PhaseRouterRsHyb,0.898926,1.166132,8.000000,0.128360,16.126364
sparse_diverse,headroom,1.05,1024,2,1.05,hash,0.786133,0.705378,4.000000,0.118575,0.064371
sparse_diverse,headroom,1.05,1024,2,1.05,PhaseRouter,0.898438,1.088604,6.500000,0.122782,1.702498
sparse_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsAdd,0.893066,1.201805,8.000000,0.129543,9.438478
sparse_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsAff,0.909668,1.102642,6.500000,0.138670,13.163026
sparse_diverse,headroom,1.05,1024,2,1.05,PhaseRouterRsHyb,0.898926,1.166132,8.000000,0.128360,9.380671
sparse_diverse,headroom,1.10,1024,2,1.10,hash,0.786133,0.705378,4.000000,0.118575,0.071021
sparse_diverse,headroom,1.10,1024,2,1.10,PhaseRouter,0.905762,1.088604,6.500000,0.122782,2.071629
sparse_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsAdd,0.905762,1.201805,8.000000,0.129543,11.895618
sparse_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsAff,0.915039,1.102642,6.500000,0.138670,12.167874
sparse_diverse,headroom,1.10,1024,2,1.10,PhaseRouterRsHyb,0.909668,1.166132,8.000000,0.128360,9.515371
sparse_diverse,headroom,1.15,1024,2,1.15,hash,0.786133,0.705378,4.000000,0.118575,0.064802
sparse_diverse,headroom,1.15,1024,2,1.15,PhaseRouter,0.905762,1.088604,6.500000,0.122782,1.808526
sparse_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsAdd,0.905762,1.201805,8.000000,0.129543,9.385698
sparse_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsAff,0.915039,1.102642,6.500000,0.138670,10.088378
sparse_diverse,headroom,1.15,1024,2,1.15,PhaseRouterRsHyb,0.909668,1.166132,8.000000,0.128360,13.314030
sparse_diverse,headroom,1.20,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.064556
sparse_diverse,headroom,1.20,1024,2,1.20,PhaseRouter,0.908203,1.088604,6.500000,0.122782,1.899802
sparse_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsAdd,0.914062,1.201805,8.000000,0.129543,10.429922
sparse_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsAff,0.918457,1.102642,6.500000,0.138670,14.499310
sparse_diverse,headroom,1.20,1024,2,1.20,PhaseRouterRsHyb,0.914551,1.166132,8.000000,0.128360,11.410874
sparse_diverse,headroom,1.30,1024,2,1.30,hash,0.786133,0.705378,4.000000,0.118575,0.065691
sparse_diverse,headroom,1.30,1024,2,1.30,PhaseRouter,0.908203,1.088604,6.500000,0.122782,1.642446
sparse_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsAdd,0.914062,1.201805,8.000000,0.129543,9.448661
sparse_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsAff,0.918457,1.102642,6.500000,0.138670,16.429867
sparse_diverse,headroom,1.30,1024,2,1.30,PhaseRouterRsHyb,0.914551,1.166132,8.000000,0.128360,9.355859
sparse_diverse,headroom,1.50,1024,2,1.50,hash,0.799316,0.705378,4.000000,0.118575,0.064964
sparse_diverse,headroom,1.50,1024,2,1.50,PhaseRouter,0.924316,1.088604,6.500000,0.122782,2.015303
sparse_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsAdd,0.940918,1.201805,8.000000,0.129543,9.318274
sparse_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsAff,0.939941,1.102642,6.500000,0.138670,10.152794
sparse_diverse,headroom,1.50,1024,2,1.50,PhaseRouterRsHyb,0.940430,1.166132,8.000000,0.128360,9.853300
sparse_diverse,headroom,2.00,1024,2,2.00,hash,0.919922,0.705378,4.000000,0.118575,0.084754
sparse_diverse,headroom,2.00,1024,2,2.00,PhaseRouter,0.974121,1.088604,6.500000,0.122782,1.613694
sparse_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsAdd,0.987793,1.201805,8.000000,0.129543,10.798628
sparse_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsAff,0.987793,1.102642,6.500000,0.138670,10.098059
sparse_diverse,headroom,2.00,1024,2,2.00,PhaseRouterRsHyb,0.984863,1.166132,8.000000,0.128360,7.389875
sparse_diverse,k_sweep,1,1024,1,1.20,hash,0.728516,1.003899,5.000000,0.120278,0.037558
sparse_diverse,k_sweep,1,1024,1,1.20,PhaseRouter,0.861328,1.328768,9.000000,0.129668,1.846943
sparse_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsAdd,0.878906,1.362156,11.000000,0.123479,9.507205
sparse_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsAff,0.866211,1.330237,9.000000,0.130959,10.103959
sparse_diverse,k_sweep,1,1024,1,1.20,PhaseRouterRsHyb,0.865234,1.377129,9.000000,0.119143,9.727821
sparse_diverse,k_sweep,2,1024,2,1.20,hash,0.786133,0.705378,4.000000,0.118575,0.077901
sparse_diverse,k_sweep,2,1024,2,1.20,PhaseRouter,0.908203,1.088604,6.500000,0.122782,1.755264
sparse_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsAdd,0.914062,1.201805,8.000000,0.129543,7.470424
sparse_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsAff,0.918457,1.102642,6.500000,0.138670,12.453646
sparse_diverse,k_sweep,2,1024,2,1.20,PhaseRouterRsHyb,0.914551,1.166132,8.000000,0.128360,9.362851
sparse_diverse,k_sweep,4,1024,4,1.20,hash,0.752197,0.489265,2.750000,0.112944,0.136890
sparse_diverse,k_sweep,4,1024,4,1.20,PhaseRouter,0.920410,0.996821,6.000000,0.147817,1.620072
sparse_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsAdd,0.932617,1.080613,7.000000,0.148427,7.280130
sparse_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsAff,0.929199,1.025731,6.250000,0.135850,10.437291
sparse_diverse,k_sweep,4,1024,4,1.20,PhaseRouterRsHyb,0.918457,1.034323,6.000000,0.129603,12.774728
sparse_diverse,k_sweep,8,1024,8,1.20,hash,0.782227,0.351562,2.250000,0.120507,0.217319
sparse_diverse,k_sweep,8,1024,8,1.20,PhaseRouter,0.960449,0.982963,5.000000,0.151813,3.723132
